folioviv,foliohog,est_socio,leche,huevo,pescado,p_leche,p_huevo
100360305,1,3,2725.66,385.71,0,18.72,28.5
100360306,1,3,1902.82,668.56,437.14,18.72,28.5
100363001,1,2,932.12,0,0,18.72,28.5
100363002,1,2,655.71,604.28,0,18.72,28.5
100363003,1,2,591.42,0,0,18.72,28.5
100363004,1,2,848.55,57.85,0,18.72,28.5
100363005,1,2,3651.38,167.14,1272.85,18.72,28.5
100363006,1,2,2777.08,347.14,0,18.72,28.5
100374901,1,4,861.41,0,0,18.72,28.5
100374902,1,4,668.56,167.14,0,18.72,28.5
100374905,1,4,1221.41,0,0,18.72,28.5
100387901,1,3,578.55,0,0,18.72,28.5
100387902,1,3,154.28,0,0,18.72,28.5
100391801,1,3,488.56,0,0,18.72,28.5
100391802,1,3,437.13,359.99,0,18.72,28.5
100391805,1,3,0,0,0,18.72,28.5
100398601,1,2,2545.68,359.99,629.99,18.72,28.5
100398602,1,2,668.53,179.99,0,18.72,28.5
100398603,1,2,1311.41,694.27,0,18.72,28.5
100398604,1,2,527.13,0,0,18.72,28.5
100398605,1,2,192.85,0,0,18.72,28.5
100398606,1,2,0,0,0,18.72,28.5
100403701,1,2,205.71,321.42,0,18.72,28.5
100403702,1,2,0,0,0,18.72,28.5
100403705,1,2,0,334.28,0,18.72,28.5
100403706,1,2,0,899.97,0,18.72,28.5
100407801,1,4,0,0,1928.57,18.72,28.5
100407803,1,4,527.13,0,0,18.72,28.5
100407804,1,4,0,0,0,18.72,28.5
100407805,1,4,0,0,0,18.72,28.5
100407806,1,4,0,0,0,18.72,28.5
100414201,1,2,0,925.7,0,18.72,28.5
100414202,1,2,1324.26,308.57,0,18.72,28.5
100414203,1,2,449.98,0,0,18.72,28.5
100414204,1,2,0,0,0,18.72,28.5
100414205,1,2,771.4,0,0,18.72,28.5
100414206,1,2,3997.27,0,0,18.72,28.5
100443401,1,3,797.12,282.85,0,18.72,28.5
100443402,1,3,533.55,0,0,18.72,28.5
100443403,1,3,1131.41,192.85,0,18.72,28.5
100443404,1,3,694.25,0,0,18.72,28.5
100443405,1,3,462.84,0,745.71,18.72,28.5
100446501,1,2,1742.12,0,0,18.72,28.5
100446503,1,2,1877.13,771.42,0,18.72,28.5
100446504,1,2,861.41,0,1928.56,18.72,28.5
100446505,1,2,0,0,0,18.72,28.5
100446506,1,2,3278.53,784.27,0,18.72,28.5
100451302,1,2,308.56,154.28,0,18.72,28.5
100451304,1,2,642.84,1619.99,0,18.72,28.5
100451305,1,2,128.57,167.14,0,18.72,28.5
100452901,1,2,0,0,0,18.72,28.5
100452902,1,2,0,784.27,0,18.72,28.5
100452903,1,2,0,321.42,0,18.72,28.5
100452904,1,2,257.14,0,0,18.72,28.5
100452905,1,2,617.14,514.28,0,18.72,28.5
100452906,1,2,0,0,0,18.72,28.5
100465001,1,3,282.85,192.85,0,18.72,28.5
100465002,1,3,308.56,0,0,18.72,28.5
100465003,1,3,3021.4,668.56,0,18.72,28.5
100465004,1,3,2121.37,591.42,0,18.72,28.5
100465005,1,3,797.12,0,0,18.72,28.5
100465006,1,3,385.7,308.57,205.71,18.72,28.5
100471602,1,3,2764.25,0,0,18.72,28.5
100471603,1,3,1960.67,0,0,18.72,28.5
100471604,1,3,1272.84,154.28,0,18.72,28.5
100471605,1,3,3239.94,591.42,0,18.72,28.5
100471606,1,3,1157.13,321.42,167.14,18.72,28.5
100474801,1,2,2404.24,0,0,18.72,28.5
100474802,1,2,874.28,0,0,18.72,28.5
100474802,2,2,1247.1,128.57,218.57,18.72,28.5
100474803,1,2,0,334.28,0,18.72,28.5
100474804,1,2,578.55,359.99,0,18.72,28.5
100474805,1,2,964.27,167.14,0,18.72,28.5
100474806,1,2,0,0,1028.57,18.72,28.5
100489701,1,3,3689.97,1401.41,0,18.72,28.5
100489703,1,3,887.13,0,0,18.72,28.5
100489704,1,3,1941.39,218.57,0,18.72,28.5
100489705,1,3,1542.85,0,1285.71,18.72,28.5
100489706,1,3,0,77.14,0,18.72,28.5
100502402,1,4,5657.12,385.71,7714.28,18.72,28.5
100502403,1,4,1452.84,0,0,18.72,28.5
100502404,1,4,2519.93,269.97,1799.99,18.72,28.5
100502406,1,4,6055.66,758.56,7071.42,18.72,28.5
100504001,1,4,552.84,347.14,0,18.72,28.5
100504002,1,4,3497.11,745.7,0,18.72,28.5
100504003,1,4,1060.7,0,0,18.72,28.5
100504006,1,4,2237.12,0,0,18.72,28.5
100524201,1,3,1234.26,295.71,0,18.72,28.5
100524202,1,3,2044.23,308.57,0,18.72,28.5
100524203,1,3,385.71,1259.94,0,18.72,28.5
100524204,1,3,102.85,359.99,0,18.72,28.5
100524205,1,3,861.41,655.7,0,18.72,28.5
100524206,1,3,1195.7,694.26,0,18.72,28.5
100530501,1,3,2815.68,411.42,0,18.72,28.5
100530502,1,3,2018.55,565.7,0,18.72,28.5
100530503,1,3,462.84,179.99,0,18.72,28.5
100530504,1,3,1375.7,591.42,0,18.72,28.5
100530506,1,3,713.55,636.42,0,18.72,28.5
100534301,1,3,0,0,0,18.72,28.5
100534303,1,3,0,0,0,18.72,28.5
100534304,1,3,0,0,0,18.72,28.5
100534305,1,3,539.99,1157.13,0,18.72,28.5
100534306,1,3,797.12,308.57,617.14,18.72,28.5
100540901,1,3,1171.27,192.85,0,18.72,28.5
100540903,1,3,3471.39,359.99,0,18.72,28.5
100540905,1,3,231.42,0,0,18.72,28.5
100540906,1,3,1105.69,0,0,18.72,28.5
100552402,1,2,835.7,359.99,334.28,18.72,28.5
100552403,1,2,0,0,0,18.72,28.5
100552404,1,2,1542.85,0,0,18.72,28.5
100552405,1,2,0,0,0,18.72,28.5
100552406,1,2,1079.97,0,0,18.72,28.5
100555001,1,2,0,0,0,18.72,28.5
100555003,1,2,0,642.85,0,18.72,28.5
100555004,1,2,565.68,359.99,0,18.72,28.5
100555005,1,2,0,0,0,18.72,28.5
100555006,1,2,0,475.7,0,18.72,28.5
100555006,2,2,0,257.14,0,18.72,28.5
100568801,1,3,1491.39,0,0,18.72,28.5
100568802,1,3,0,0,0,18.72,28.5
100568803,1,3,668.56,347.14,411.42,18.72,28.5
100568804,1,3,989.99,732.84,0,18.72,28.5
100568805,1,3,552.84,0,0,18.72,28.5
100568806,1,3,282.85,0,501.42,18.72,28.5
100569401,1,3,167.14,372.85,0,18.72,28.5
100569402,1,3,617.13,231.42,0,18.72,28.5
100569403,1,3,3149.99,520.7,0,18.72,28.5
100569404,1,3,617.14,334.28,0,18.72,28.5
100569405,1,3,0,1343.55,0,18.72,28.5
100569406,1,3,1079.93,282.84,0,18.72,28.5
100578002,1,3,257.14,0,1221.42,18.72,28.5
100578003,1,3,0,0,0,18.72,28.5
100578004,1,3,4217.07,0,0,18.72,28.5
100578005,1,3,2687.12,578.57,1465.7,18.72,28.5
100578006,1,3,2044.24,282.85,771.42,18.72,28.5
100579602,1,3,539.98,179.99,578.57,18.72,28.5
100579603,1,3,925.69,257.14,0,18.72,28.5
100579604,1,3,745.7,359.99,0,18.72,28.5
100579605,1,3,771.41,0,771.42,18.72,28.5
100579606,1,3,0,0,0,18.72,28.5
100590701,1,3,179.99,321.42,0,18.72,28.5
